EmployeeNumber,Age,Gender,MaritalStatus,Department,JobRole,JobLevel,MonthlyIncome,DistanceFromHome,YearsAtCompany,TotalWorkingYears,Attrition
1,41,Female,Single,Sales,Sales Executive,2,5993,1,6,8,Yes
2,49,Male,Married,Research & Development,Research Scientist,2,5130,8,10,10,No
4,37,Male,Single,Research & Development,Laboratory Technician,1,2090,2,0,7,Yes
5,33,Female,Married,Research & Development,Research Scientist,1,2909,3,8,8,No
7,27,Male,Married,Research & Development,Laboratory Technician,1,3468,2,2,6,No
8,32,Male,Single,Research & Development,Laboratory Technician,1,3068,2,7,8,No
10,59,Female,Married,Research & Development,Laboratory Technician,1,2670,3,1,12,No
11,30,Male,Divorced,Research & Development,Laboratory Technician,1,2693,24,1,1,No
12,38,Male,Single,Research & Development,Manufacturing Director,3,9526,23,9,10,No
13,36,Male,Married,Research & Development,Healthcare Representative,2,5237,27,7,17,No
14,35,Male,Married,Research & Development,Laboratory Technician,1,2426,16,5,6,No
15,29,Female,Single,Research & Development,Laboratory Technician,2,4193,15,9,10,No
16,31,Male,Divorced,Research & Development,Research Scientist,1,2911,26,5,5,No
18,34,Male,Divorced,Research & Development,Laboratory Technician,1,2661,19,2,3,No
19,28,Male,Single,Research & Development,Laboratory Technician,1,2028,24,4,6,Yes
20,29,Female,Divorced,Research & Development,Manufacturing Director,3,9980,21,10,10,No
21,32,Male,Divorced,Research & Development,Research Scientist,1,3298,5,6,7,No
22,22,Male,Divorced,Research & Development,Laboratory Technician,1,2935,16,1,1,No
23,53,Female,Married,Sales,Manager,4,15427,2,25,31,No
24,38,Male,Single,Research & Development,Research Scientist,1,3944,2,3,6,No
26,24,Female,Divorced,Research & Development,Manufacturing Director,2,4011,11,4,5,No
27,36,Male,Single,Sales,Sales Representative,1,3407,9,5,10,Yes
28,34,Female,Single,Research & Development,Research Director,3,11994,7,12,13,No
30,21,Male,Single,Research & Development,Research Scientist,1,1232,15,0,0,No
31,34,Male,Single,Research & Development,Research Scientist,1,2960,6,4,8,Yes
32,53,Female,Divorced,Research & Development,Manager,5,19094,5,14,26,No
33,32,Female,Single,Research & Development,Research Scientist,1,3919,16,10,10,Yes
35,42,Male,Married,Sales,Sales Executive,2,6825,8,9,10,No
36,44,Female,Married,Research & Development,Healthcare Representative,3,10248,7,22,24,No
38,46,Female,Single,Sales,Manager,5,18947,2,2,22,No
39,33,Male,Single,Research & Development,Laboratory Technician,1,2496,2,1,7,No
40,44,Male,Married,Research & Development,Healthcare Representative,2,6465,10,4,9,No
41,30,Male,Single,Research & Development,Laboratory Technician,1,2206,9,10,10,No
42,39,Male,Married,Sales,Sales Representative,2,2086,5,1,19,Yes
45,24,Male,Married,Research & Development,Research Scientist,1,2293,1,2,6,Yes
46,43,Female,Divorced,Research & Development,Research Scientist,1,2645,2,5,6,No
47,50,Male,Married,Sales,Sales Representative,1,2683,3,3,3,Yes
49,35,Female,Married,Sales,Sales Representative,1,2014,2,2,2,No
51,36,Female,Married,Research & Development,Research Scientist,1,3419,5,1,6,No
52,33,Female,Married,Sales,Sales Executive,2,5376,1,5,10,No
53,35,Male,Divorced,Research & Development,Laboratory Technician,1,1951,4,1,1,No
54,27,Female,Divorced,Research & Development,Laboratory Technician,1,2341,2,1,1,No
55,26,Male,Single,Research & Development,Laboratory Technician,1,2293,25,1,1,Yes
56,27,Male,Single,Sales,Sales Executive,3,8726,8,9,9,No
57,30,Female,Single,Research & Development,Laboratory Technician,2,4011,1,12,12,No
58,41,Female,Married,Research & Development,Research Director,5,19545,12,22,23,Yes
60,34,Male,Single,Sales,Sales Executive,2,4568,23,9,10,No
61,37,Male,Married,Research & Development,Research Scientist,1,3022,19,1,8,No
62,46,Male,Single,Sales,Sales Executive,2,5772,5,9,14,No
63,35,Male,Married,Research & Development,Laboratory Technician,1,2269,8,1,1,No
64,48,Male,Single,Research & Development,Laboratory Technician,3,5381,1,1,23,Yes
65,28,Male,Single,Research & Development,Laboratory Technician,1,3441,5,2,2,Yes
68,44,Female,Divorced,Sales,Sales Executive,2,5454,1,4,9,No
70,35,Male,Married,Research & Development,Healthcare Representative,3,9884,11,4,10,No
72,26,Female,Married,Sales,Sales Executive,2,4157,23,2,5,No
73,33,Female,Single,Research & Development,Research Director,3,13458,1,15,15,No
74,35,Male,Married,Sales,Sales Executive,3,9069,18,9,9,No
75,35,Female,Married,Research & Development,Laboratory Technician,1,4014,23,2,4,No
76,31,Male,Divorced,Research & Development,Laboratory Technician,2,5915,7,7,10,No
77,37,Male,Divorced,Research & Development,Manufacturing Director,2,5993,1,7,7,No
78,32,Male,Married,Research & Development,Manufacturing Director,2,6162,1,9,9,No
79,38,Female,Single,Research & Development,Laboratory Technician,2,2406,29,10,10,No
80,50,Female,Divorced,Research & Development,Research Director,5,18740,7,27,29,No
81,59,Female,Single,Sales,Sales Executive,3,7637,25,21,28,No
83,36,Female,Divorced,Research & Development,Healthcare Representative,3,10096,8,17,17,No
84,55,Female,Divorced,Research & Development,Manager,4,14756,8,5,21,No
85,36,Male,Single,Research & Development,Manufacturing Director,2,6499,11,6,6,No
86,45,Male,Divorced,Research & Development,Research Scientist,3,9724,7,1,25,No
88,35,Male,Married,Research & Development,Research Scientist,1,2194,1,3,5,No
90,36,Male,Married,Research & Development,Research Scientist,1,3388,9,1,2,Yes
91,59,Female,Single,Sales,Sales Executive,2,5473,1,4,20,No
94,29,Male,Married,Research & Development,Research Scientist,1,2703,2,5,6,No
95,31,Male,Single,Research & Development,Research Scientist,1,2501,1,1,1,No
96,32,Male,Married,Research & Development,Research Scientist,2,6220,1,10,10,No
97,36,Female,Married,Research & Development,Laboratory Technician,1,3038,6,1,5,No
98,31,Female,Single,Research & Development,Manufacturing Director,2,4424,8,11,11,No
100,35,Male,Single,Sales,Sales Executive,2,4312,1,15,16,No
101,45,Male,Married,Research & Development,Research Director,3,13245,6,0,17,No
102,37,Male,Single,Research & Development,Research Director,3,13664,7,5,16,No
103,46,Male,Divorced,Human Resources,Human Resources,2,5021,5,4,16,No
104,30,Male,Married,Research & Development,Laboratory Technician,2,5126,1,10,10,No
105,35,Male,Single,Research & Development,Research Scientist,1,2859,1,6,6,No
106,55,Male,Married,Sales,Sales Executive,3,10239,1,1,24,No
107,38,Female,Divorced,Research & Development,Research Scientist,2,5329,6,13,17,No
110,34,Male,Married,Research & Development,Manufacturing Director,2,4325,1,5,5,No
112,56,Male,Single,Research & Development,Manufacturing Director,3,7260,7,6,37,No
113,23,Male,Divorced,Sales,Sales Representative,1,2322,2,0,3,No
116,51,Male,Married,Research & Development,Laboratory Technician,1,2075,9,4,10,No
117,30,Male,Married,Research & Development,Healthcare Representative,2,4152,2,11,11,No
118,46,Male,Single,Sales,Sales Executive,3,9619,9,9,9,Yes
119,40,Male,Married,Research & Development,Healthcare Representative,4,13503,1,22,22,No
120,51,Male,Single,Sales,Sales Executive,2,5441,21,10,11,No
121,30,Female,Divorced,Sales,Sales Executive,2,5209,4,11,11,No
124,46,Male,Married,Research & Development,Healthcare Representative,3,10673,1,10,21,No
125,32,Male,Single,Sales,Sales Executive,2,5010,6,11,12,No
126,54,Female,Married,Research & Development,Research Director,3,13549,2,4,16,No
128,24,Female,Married,Sales,Sales Executive,2,4999,3,3,4,No
129,28,Male,Married,Sales,Sales Executive,2,4221,4,5,5,No
131,58,Male,Single,Sales,Sales Executive,4,13872,10,37,38,No
132,44,Male,Married,Research & Development,Laboratory Technician,2,2042,23,3,17,No
133,37,Male,Divorced,Human Resources,Human Resources,1,2073,6,3,7,Yes
134,32,Male,Single,Research & Development,Research Scientist,1,2956,1,1,1,No
137,20,Female,Single,Research & Development,Laboratory Technician,1,2926,6,1,1,Yes
138,34,Female,Single,Research & Development,Research Scientist,2,4809,6,16,16,No
139,37,Male,Divorced,Research & Development,Healthcare Representative,2,5163,2,1,17,No
140,59,Female,Married,Human Resources,Manager,5,18844,2,3,30,No
141,50,Female,Married,Research & Development,Research Director,5,18172,1,8,28,No
142,25,Male,Single,Sales,Sales Executive,2,5744,5,6,6,Yes
143,25,Male,Married,Research & Development,Research Scientist,1,2889,7,2,2,No
144,22,Female,Single,Research & Development,Laboratory Technician,1,2871,15,0,1,No
145,51,Female,Single,Research & Development,Healthcare Representative,3,7484,1,13,23,No
147,34,Male,Single,Research & Development,Laboratory Technician,2,6074,7,9,9,Yes
148,54,Female,Single,Human Resources,Manager,4,17328,26,5,23,No
150,24,Male,Married,Research & Development,Laboratory Technician,1,2774,18,5,6,No
151,34,Female,Divorced,Research & Development,Research Scientist,2,4505,6,1,12,No
152,37,Male,Single,Sales,Sales Executive,3,7428,3,5,12,No
153,34,Female,Single,Research & Development,Manager,3,11631,5,11,14,No
154,36,Female,Married,Sales,Sales Executive,3,9738,11,9,10,No
155,36,Female,Divorced,Research & Development,Laboratory Technician,1,2835,3,1,7,No
158,43,Male,Married,Sales,Manager,4,16959,26,25,25,No
159,30,Male,Divorced,Research & Development,Research Scientist,1,2613,23,10,10,No
160,33,Male,Married,Sales,Sales Executive,2,6146,22,7,8,No
161,56,Female,Married,Research & Development,Research Scientist,1,4963,14,5,7,Yes
162,51,Male,Single,Research & Development,Research Director,5,19537,6,20,23,No
163,31,Male,Married,Sales,Sales Executive,2,6172,6,7,12,Yes
164,26,Female,Married,Research & Development,Research Scientist,1,2368,6,5,5,No
165,58,Female,Married,Research & Development,Healthcare Representative,3,10312,23,40,40,Yes
167,19,Male,Single,Sales,Sales Representative,1,1675,22,0,0,Yes
169,22,Male,Married,Research & Development,Laboratory Technician,1,2523,2,2,3,No
