EmployeeNumber,PerformanceRating,OverTime,JobInvolvement,TrainingTimesLastYear,PercentSalaryHike
1,3,Yes,3,0,11
2,4,No,2,3,23
4,3,Yes,2,3,15
5,3,Yes,3,3,11
7,3,No,3,3,12
8,3,No,3,2,13
10,4,Yes,4,3,20
11,4,No,3,2,22
12,4,No,2,2,21
13,3,No,3,3,13
14,3,No,4,5,13
15,3,Yes,2,3,12
16,3,No,3,1,17
18,3,No,3,2,11
19,3,Yes,2,4,14
20,3,No,4,1,11
21,3,Yes,4,5,12
22,3,Yes,4,2,13
23,3,No,2,3,16
24,3,Yes,3,3,11
26,3,No,4,5,18
27,4,No,2,4,23
28,3,No,3,4,11
30,3,No,3,6,14
31,3,No,3,2,11
32,3,No,3,3,11
33,4,Yes,1,5,22
35,3,No,3,2,11
36,3,No,2,4,14
38,3,No,3,2,12
39,3,No,3,3,11
40,3,Yes,3,5,13
41,3,No,2,5,13
42,3,No,3,6,14
45,3,Yes,3,2,16
46,3,No,4,3,12
47,3,Yes,2,2,14
49,3,No,3,3,13
51,3,Yes,2,3,14
52,3,No,4,3,19
53,3,No,3,3,12
54,3,No,3,6,13
55,3,No,1,2,12
56,3,No,3,0,15
57,4,No,3,2,23
58,3,No,3,0,12
60,4,No,3,2,20
61,4,No,3,1,21
62,4,Yes,3,4,21
63,3,No,4,2,19
64,3,Yes,2,2,13
65,3,Yes,3,3,13
68,4,Yes,3,2,21
70,3,Yes,2,3,13
72,3,Yes,2,2,19
73,3,Yes,3,1,12
74,4,No,3,3,22
75,3,Yes,3,3,15
76,4,No,3,3,22
77,3,No,2,2,18
78,4,Yes,3,3,22
79,3,No,3,2,11
80,3,Yes,2,2,12
81,3,No,3,3,11
83,3,No,3,2,13
84,3,Yes,3,2,14
85,3,No,2,3,13
86,3,No,3,2,17
88,3,No,3,2,13
90,3,Yes,2,0,17
91,3,No,2,2,11
94,4,No,3,3,23
95,3,No,3,4,17
96,3,No,3,3,17
97,3,No,4,3,12
98,4,No,3,2,23
100,3,No,2,2,14
101,3,Yes,3,3,14
102,3,No,3,3,13
103,4,Yes,3,2,22
104,3,Yes,2,1,12
105,3,No,2,3,18
106,3,No,3,4,14
107,3,Yes,1,3,12
110,3,No,3,2,15
112,3,No,1,3,11
113,3,No,3,3,13
116,4,No,3,4,23
117,3,No,2,3,19
118,3,No,2,3,16
119,4,No,2,3,22
120,4,Yes,3,2,22
121,3,Yes,2,4,12
124,3,Yes,2,5,13
125,3,No,3,0,16
126,3,No,3,5,12
128,4,No,3,2,21
129,3,No,3,3,15
131,3,No,3,1,13
132,3,No,3,3,12
133,4,Yes,3,3,22
134,3,No,3,2,13
137,3,Yes,2,5,18
138,3,No,3,3,14
139,3,No,2,2,14
140,4,No,2,3,21
141,3,Yes,3,1,19
142,3,Yes,2,1,11
143,3,No,2,2,11
144,3,No,3,5,15
145,4,No,2,1,20
147,4,Yes,1,3,24
148,3,Yes,4,3,12
150,3,No,3,2,12
151,3,No,2,3,15
152,3,No,3,3,12
153,3,No,2,6,12
154,3,No,3,6,14
155,4,No,3,2,22
158,3,Yes,3,3,12
159,4,No,1,2,25
160,3,No,3,2,13
161,3,Yes,3,2,18
162,3,No,3,5,13
163,3,Yes,1,3,18
164,3,No,2,3,19
165,3,No,3,3,12
167,3,Yes,3,2,19
169,3,No,3,2,14
170,3,No,3,2,14
171,3,No,4,2,12
174,3,No,3,3,11
175,3,Yes,1,2,11
176,3,Yes,3,2,13
177,4,No,3,3,23
178,4,No,3,0,20
179,3,No,1,2,15
182,3,No,2,1,14
183,3,No,2,3,18
184,3,Yes,3,2,19
190,4,No,3,2,22
192,3,No,3,2,13
193,4,Yes,3,2,20
