EmployeeNumber,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction
1,4,2,1,1
2,2,3,3,4
4,3,4,3,2
5,3,4,3,3
7,2,1,3,4
8,4,4,2,3
10,1,3,2,1
11,3,4,3,2
12,3,4,3,2
13,3,3,2,2
14,2,1,3,3
15,3,4,3,4
16,3,1,2,4
18,4,2,3,3
19,3,3,3,2
20,1,2,3,3
21,2,1,2,4
22,4,4,2,2
23,4,1,3,3
24,4,4,3,3
26,3,1,2,4
27,1,3,3,2
28,2,1,3,3
30,4,3,3,4
31,1,2,3,3
32,3,3,2,4
33,1,2,3,2
35,2,3,3,4
36,4,1,3,4
38,1,2,2,4
39,4,3,3,4
40,4,4,4,4
41,3,4,3,1
42,4,4,4,3
45,4,2,2,1
46,3,4,2,4
47,3,1,3,3
49,4,4,3,1
51,1,2,4,4
52,1,3,3,1
53,4,3,3,3
54,1,4,3,4
55,3,1,2,3
56,3,4,3,4
57,4,3,3,4
58,3,2,3,4
60,3,2,3,3
61,2,2,3,1
62,4,1,3,3
63,4,4,3,4
64,3,1,3,4
65,3,3,2,3
68,1,2,2,3
70,1,3,3,3
72,4,3,2,3
73,4,1,3,3
74,1,2,2,4
75,1,3,3,3
76,4,4,2,4
77,3,1,4,3
78,4,1,3,2
79,4,4,3,4
80,3,2,2,4
81,1,1,2,4
83,3,3,3,2
84,3,4,3,3
85,2,2,3,3
86,1,2,3,3
88,1,2,2,4
90,3,4,2,1
91,3,1,2,4
94,2,3,3,4
95,2,3,3,2
96,2,2,3,2
97,4,2,3,2
98,4,3,3,4
100,1,3,3,2
101,1,4,4,2
102,3,1,4,1
103,2,2,3,4
104,4,4,2,3
105,3,2,3,1
106,4,1,3,4
107,4,2,3,4
110,2,1,3,3
112,4,4,2,1
113,1,3,3,3
116,4,4,3,2
117,4,3,3,1
118,4,3,3,4
119,2,3,2,4
120,4,3,1,4
121,2,3,2,2
124,1,3,2,3
125,3,2,3,1
126,3,1,1,1
128,3,1,2,1
129,3,2,4,2
131,3,4,2,3
132,2,2,4,3
133,1,3,3,4
134,1,4,3,4
137,4,4,3,2
138,3,1,3,3
139,4,3,4,4
140,4,3,3,4
141,2,1,2,1
142,3,3,3,4
143,4,4,3,3
144,4,2,3,3
145,1,1,2,3
147,3,1,3,4
148,4,4,3,3
150,3,2,3,3
151,2,3,3,3
152,4,3,3,1
153,1,3,3,4
154,4,2,3,3
155,4,1,3,1
158,4,3,4,4
159,3,1,2,3
160,2,3,4,1
161,2,2,3,1
162,3,1,3,3
163,3,2,2,2
164,2,3,2,3
165,4,4,2,4
167,3,4,2,4
169,4,3,3,3
170,1,3,2,3
171,3,2,3,4
174,4,3,3,4
175,3,2,3,3
176,3,3,3,3
177,3,3,3,4
178,2,2,3,4
179,4,1,3,4
182,3,4,4,3
183,3,1,3,4
184,4,3,1,4
190,1,1,4,1
192,4,3,2,2
193,3,4,3,2
194,3,1,2,3
195,4,4,4,4
197,1,4,3,4
198,4,2,3,4
199,1,4,2,2
200,1,3,3,4
201,2,2,3,4
202,2,2,3,1
204,2,3,3,1
205,3,2,1,4
206,2,2,1,3
207,4,2,3,4
208,3,4,3,1
211,3,2,3,3
214,2,2,2,2
215,4,3,2,1
216,3,3,3,4
217,4,3,3,1
218,2,4,1,4
221,4,3,1,3
223,4,3,1,2
224,3,3,2,4
226,2,3,3,2
227,3,1,3,1
228,4,2,3,3
230,4,1,4,3
231,3,3,3,1
233,2,3,2,4
235,1,3,4,1
238,2,4,2,3
239,1,3,3,3
240,1,3,4,1
241,1,3,3,3
242,4,3,4,1
243,4,2,2,3
244,1,2,3,3
245,4,3,3,3
246,4,3,3,3
247,2,4,3,4
248,2,2,2,4
249,3,3,2,4
250,1,4,3,3
252,2,4,3,4
253,3,4,3,2
254,2,3,3,4
256,3,4,2,3
258,2,4,3,3
259,3,3,3,1
260,2,4,2,4
261,3,2,3,1
262,4,4,4,4
264,4,1,3,4
267,1,2,2,1
269,2,2,3,4
270,3,3,3,2
271,3,4,3,2
273,4,4,1,1
274,1,3,3,3
275,4,4,3,1
277,3,4,4,4
281,4,3,4,3
282,1,2,3,2
283,4,2,2,4
284,2,4,2,1
286,4,2,3,1
287,4,4,1,4
288,1,4,3,3
291,4,4,2,3
292,3,3,3,3
293,3,4,3,4
296,2,2,1,4
297,1,4,3,3
298,4,4,3,3
299,1,3,2,3
300,3,3,2,4
302,4,4,3,4
303,1,4,3,4
304,2,4,4,4
305,2,3,3,4
306,4,2,3,3
307,3,1,2,3
308,3,3,3,4
309,4,3,3,1
311,4,1,3,3
312,4,2,3,4
314,3,3,4,1
315,4,3,2,3
316,4,3,2,2
319,4,3,3,4
321,3,2,2,4
323,4,4,2,3
325,4,3,1,3
327,4,4,3,3
328,1,1,4,1
329,3,1,4,4
330,2,3,3,1
331,3,4,1,4
332,3,3,3,3
333,4,3,3,1
334,1,3,2,1
335,4,1,3,1
336,4,3,3,3
337,3,2,3,1
338,4,3,2,3
339,1,4,3,2
340,1,3,2,1
341,3,1,3,4
342,3,1,3,2
343,3,3,3,4
346,4,3,3,1
347,1,4,3,3
349,4,4,3,4
350,3,1,3,4
351,1,4,3,3
352,3,1,3,4
353,4,3,2,2
355,2,3,4,2
359,2,2,1,3
361,4,4,3,4
362,1,4,3,4
363,2,3,2,2
364,3,1,1,3
366,2,1,3,2
367,4,2,3,2
369,1,2,3,4
372,4,3,3,2
373,4,4,3,3
374,1,4,3,3
376,2,1,2,4
377,4,4,2,4
378,4,3,4,2
379,3,4,4,1
380,4,1,3,1
381,2,2,2,2
382,1,1,3,3
384,2,3,1,1
385,2,1,2,1
386,3,3,2,4
387,3,2,3,3
388,4,2,2,1
389,4,2,3,4
390,1,1,3,3
391,4,4,3,2
392,3,4,1,4
393,4,4,3,2
394,2,1,3,4
395,4,4,3,4
396,1,3,3,4
397,2,3,3,4
399,2,4,2,3
401,4,4,3,2
403,4,2,2,3
404,2,3,4,4
405,3,3,3,3
406,2,3,2,3
407,4,3,3,4
408,2,4,3,4
410,2,4,3,2
411,3,4,3,1
412,1,2,3,3
416,4,2,2,2
417,4,3,2,1
419,2,2,3,3
420,3,4,2,3
421,2,1,3,3
422,3,4,3,4
423,4,3,3,3
424,1,1,3,4
425,1,1,3,1
426,4,3,1,2
428,2,4,3,2
429,1,3,3,4
430,4,3,3,1
431,3,3,3,4
433,2,3,2,1
434,2,3,2,2
436,2,3,3,4
437,3,4,3,1
438,4,4,3,4
439,4,1,2,3
440,4,1,2,4
441,4,4,3,4
442,3,3,3,1
444,4,3,3,1
445,3,4,2,1
446,4,2,2,3
447,3,4,3,2
448,3,3,4,2
449,2,3,3,4
450,3,4,2,4
451,1,3,2,1
452,4,4,3,1
453,4,2,2,3
454,1,2,2,4
455,4,2,3,3
456,3,4,3,3
458,2,2,3,1
460,4,4,2,3
461,4,3,3,2
462,4,3,2,3
463,2,4,3,1
464,2,3,3,4
465,4,3,2,3
466,2,4,3,4
467,3,2,3,1
468,4,1,3,2
469,3,4,2,1
470,3,3,3,3
471,2,3,3,3
473,3,1,1,2
474,1,3,3,1
475,3,4,4,2
476,3,3,3,2
477,4,1,3,2
478,2,1,3,3
479,4,4,3,2
481,4,1,3,1
482,3,4,3,3
483,3,4,3,3
484,4,1,2,3
485,3,4,3,2
486,1,3,3,2
487,3,3,4,3
488,2,1,3,3
491,4,4,3,4
492,3,3,3,1
493,2,3,3,4
494,2,3,3,4
495,4,4,3,4
496,2,3,3,3
497,2,4,3,2
498,4,2,3,4
499,3,2,3,3
500,4,3,2,3
501,3,4,3,2
502,4,1,2,2
505,4,3,3,3
507,3,4,4,4
508,2,3,3,1
510,1,3,3,3
511,2,1,3,4
513,3,2,3,2
